Country,Population,Available Manpower,Fit for Service,Military Age Annually,Active Personnel,Reserve Personnel,Paramilitary
Saudi Arabia,36544431,19003104,17468238,621255,247000,0,150000
Senegal,18847519,7162057,4089912,395798,17000,0,0
Serbia,6652212,3259584,2574406,79827,22500,2000,600000
Sierra Leone,9121049,2006631,1203978,45605,13000,0,0
Singapore,6028459,3918498,2628408,66313,51000,252500,12000
Slovakia,5563649,2837461,2353424,61200,20982,0,0
Slovenia,2097893,1006989,826570,22867,7000,26000,5000
Somalia,13017273,2993973,1796384,130173,30000,0,2000
South Africa,60442647,27803618,14989776,1027525,68731,29350,50000
South Korea,52081799,26040900,21353538,416654,450000,3100000,120000
South Sudan,12703714,6351857,4065188,330297,185000,0,0
Spain,47280433,21748999,17635602,330963,121802,24033,78470
Sri Lanka,21982608,10551652,8551235,307757,346000,90000,0
Sudan,50467278,26747657,17108407,1312149,300000,200000,17500
Suriname,646758,142287,84079,3234,2500,0,200
Sweden,10589835,4235934,3558185,105898,25600,34000,104400
Switzerland,8860574,3898653,3163225,97466,147178,0,5000
Syria,23865423,15273871,13245310,668232,100000,0,50000
Taiwan,23595274,12269542,1061787,306739,230000,1657000,55000
Tajikistan,10394063,4781269,3773045,176699,150000,600000,20000
Tanzania,67462121,12143182,6678750,607159,25000,0,6500
Thailand,69920998,36358919,27968399,1118736,360850,200000,25000
Tunisia,12048847,6024424,5181004,204830,89800,0,12000
Turkiye,84119531,42985080,36087279,1430032,481000,380000,150000
Turkmenistan,5744151,2768681,2245963,109139,36500,0,3500
Uganda,49283041,16756234,9905891,985661,45000,0,10000
Ukraine,35661826,18187531,12731272,392280,900000,4000000,100000
United Arab Emirates,10032213,5818684,4945881,80258,65000,130000,12000
United Kingdom,68459055,31491165,25192932,753050,141330,31940,0
United States,341963408,150463900,124816644,4445524,1333030,799500,0
Uruguay,3425330,1575652,1322177,54805,24000,0,5000
Uzbekistan,36520593,18990708,15959499,730412,120000,0,20000
Venezuela,31250306,15625153,12812625,625006,109000,8000,220000
Vietnam,105758975,54994667,45053323,1797903,450000,5000000,250000
Yemen,32140443,12213368,9031464,610668,33350,0,20000
Zambia,20799116,7279691,4139024,374384,15150,0,1200
Zimbabwe,17150352,6517134,3721626,360157,29000,0,21800
